"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"105","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"106","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"107","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"108","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"109","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"111","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"113","x","f","w","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","e"
"114","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"115","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"116","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"117","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","y","e"
"118","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"119","x","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"120","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","e"
"121","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"122","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"123","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"124","f","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","e"
"125","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"126","x","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","e"
"128","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","e"
"129","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"130","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"131","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"132","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"133","f","s","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","e"
"134","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"135","f","s","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"136","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","p"
"137","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"138","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"140","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"141","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"144","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"145","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"148","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"149","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"150","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"151","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"152","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","e"
"156","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"157","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"158","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"159","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"160","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"161","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"163","x","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","e"
"164","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"165","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"166","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"168","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"169","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"170","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"171","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","e"
"172","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"174","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"175","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"176","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"178","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"180","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"181","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"182","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","e"
"184","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"185","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","e"
"189","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"191","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"192","x","s","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"193","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"194","f","s","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"195","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"197","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"198","x","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"199","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"200","f","s","w","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"202","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"203","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"204","x","f","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","e"
"205","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"207","b","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"208","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"209","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"210","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"211","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"212","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"213","x","f","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"214","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","e"
"215","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","e"
"217","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"219","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"220","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","e"
"221","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"222","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"223","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","e"
"225","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"226","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"227","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"228","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"229","x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"230","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"231","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","y","e"
"232","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"234","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","e"
"236","x","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"238","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"239","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","e"
"240","f","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","e"
"241","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"244","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"246","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"248","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"249","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"250","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"251","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"252","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"253","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","e"
"254","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"255","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"256","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"257","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","e"
"258","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"259","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"260","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"262","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"263","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"264","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"265","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","e"
"268","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"270","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"271","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"272","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","p"
"273","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"277","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"278","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"280","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"281","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","p"
"282","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"283","s","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","e"
"284","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"285","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"286","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","e"
"288","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"291","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","e"
"292","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"293","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"294","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"295","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"297","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"298","x","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"299","f","s","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"300","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"303","x","s","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"304","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"305","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"306","x","f","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","e"
"307","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"308","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"309","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","e"
"310","x","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","e"
"311","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"312","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"313","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"314","x","f","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"315","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"317","x","s","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"318","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"319","x","f","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"322","f","f","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","e"
"323","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"324","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"325","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"326","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"328","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"329","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"330","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"331","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","p"
"332","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"333","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"334","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"335","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"336","x","f","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","e"
"338","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"339","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","e"
"340","x","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"343","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"344","f","f","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"345","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"346","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","e"
"347","x","f","y","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"348","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"349","f","s","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","e"
"350","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","e"
"353","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"354","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"355","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"357","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","e"
"358","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"359","x","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","e"
"360","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"361","x","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","e"
"362","x","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","e"
"363","f","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","e"
"364","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","e"
"365","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"366","f","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","e"
"367","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","e"
"368","x","f","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"371","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","e"
"372","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"374","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","e"
"375","x","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"378","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"379","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"380","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
